,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"Автомобили",,,"HSP Racing","HSP94480 Green",,"Автомобиль HSP Racing Mini Rock Crawler 1:24 RTR 165 мм 4WD 2,4 ГГц (HSP94480 Green)","55,00","65,00","2 190,00"
"Автомобили",,,"HSP Racing","HSP94762 Green",,"Автомобиль HSP Racing Nokier Nitro Monster 1:8 RTR 521 мм 4WD 2,4 ГГц (HSP94762 Green)","210,00","240,00","8 090,00"
"Автомобили",,,"HSP Racing","HSP94808",,"Автомобиль HSP Racing Reptile Car 1:18 RTR 260 мм 4WD 2,4 ГГц (HSP94808)","55,00","60,00","2 290,00"
"Автомобили",,,"HSP Racing","HSP131800 Yellow-Red",,"Автомобиль HSP Racing Right Racing 1:10 RTR 460 мм 4WD 2,4 ГГц (HSP131800 Yellow-Red)","120,00","140,00","4 590,00"
"Автомобили",,,"HSP Racing","94062TOP",,"Автомобиль HSP Racing Savagery 1:8 Brushless RTR 510 мм 4WD 2,4 ГГц (94062TOP)","295,00","310,00","10 690,00"
"Автомобили",,,"HSP Racing","HSP94250-C Blue",,"Автомобиль HSP Racing Spirit MT 1:24 RTR 165 мм 4WD 2,4 ГГц (HSP94250-C Blue)","45,00","50,00","1 690,00"
"Автомобили",,,"HSP Racing","94185TOP",,"Автомобиль HSP Racing Troian Brushless Buggy 1:16 RTR 280 мм 4WD 2,4 ГГц (94185TOP)","115,00","125,00","4 090,00"
"Автомобили",,,"HSP Racing","HSP94348 Blue",,"Автомобиль HSP Racing Wild Wind Rally 1:14 RTR 370 мм 4WD 2,4 ГГц (HSP94348 Blue)","65,00","70,00","2 490,00"
"Автомобили",,,"HSP Racing","HSP94348 White",,"Автомобиль HSP Racing Wild Wind Rally 1:14 RTR 370 мм 4WD 2,4 ГГц (HSP94348 White)","65,00","70,00","2 490,00"
"Автомобили",,,"HSP Racing","HSP94348 Black",,"Автомобиль HSP Racing WildWind Rally 1:14 RTR 370 мм 4WD 2,4 ГГц (HSP94348 Black)","65,00","70,00","2 490,00"
"Автомобили",,,"HSP Racing","HSP94348 Red",,"Автомобиль HSP Racing WildWind Rally 1:14 RTR 370 мм 4WD 2,4 ГГц (HSP94348 Red)","65,00","70,00","2 490,00"
"Автомобили",,,"HSP Racing","HSP94246 Blue",,"Автомобиль HSP Racing МT24 1:24 RTR 165 мм 4WD 2,4 ГГц (HSP94246 Blue)","45,00","50,00","1 690,00"
"Автомобили",,,"HSP Racing","HSP94247 Blue",,"Автомобиль HSP Racing ТT24 Short Course 1:24 RTR 178 мм 4WD 2,4 ГГц (HSP94247 Blue)","45,00","50,00","1 690,00"
"Автомобили",,,"LOSI","LOSB0122",,"Автомобиль Losi 22 Brushless Buggy 1:10 RTR 388,98 мм 2WD Spektrum DX3E 2,4 ГГц (LOSB0122)","335,00","349,00","10 690,00"
"Автомобили",,,"LOSI","LOSB0019BLKBD",,"Автомобиль Losi 5IVE-T 1:5 Short Course BND 965 мм 4WD Spektrum 2,4 ГГц (LOSB0019BLKBD)","1 300,00","1 400,00","40 490,00"
"Автомобили",,,"LOSI","LOS05001",,"Автомобиль Losi Desert Buggy XL 1:5 RTR 781 мм 4WD Spektrum DX2E 2,4 ГГц бензин (LOS05001)","960,00","1 000,00","32 890,00"
"Автомобили",,,"LOSI","LOSB0238T2",,"Автомобиль Losi Trail Trekker 1:24 RTR 175 мм 4WD Spektrum 2,4 ГГц (LOSB0238T2)","150,00","170,00","5 590,00"
"Автомобили",,,"Thunder Tiger","6243-F111",,"Автомобиль Thunder Tiger EB-4 S2.5 Nitro PRO Buggy 1:8 RTR 490 мм 4WD 2,4 ГГц (6243-F111)","230,00","240,00","8 090,00"
"Автомобили",,,"Thunder Tiger","6243-F112",,"Автомобиль Thunder Tiger EB-4 S2.5 Nitro PRO Buggy 1:8 RTR 490 мм 4WD 2,4 ГГц (6243-F112)","230,00","240,00","8 090,00"
"Автомобили",,,"Thunder Tiger","6243-F114",,"Автомобиль Thunder Tiger EB-4 S2.5 Nitro PRO Buggy 1:8 RTR 490 мм 4WD 2,4 ГГц (6243-F114)","230,00","240,00","8 090,00"
"Автомобили",,,"Thunder Tiger","6403-F111",,"Автомобиль Thunder Tiger eMTA Brushless Monster 1:8 RTR 620 мм 4WD 2,4 ГГц (6403-F111)","395,00","450,00","14 990,00"
"Автомобили",,,"Thunder Tiger","6403-F112",,"Автомобиль Thunder Tiger eMTA Brushless Monster 1:8 RTR 620 мм 4WD 2,4 ГГц (6403-F112)","395,00","450,00","14 990,00"
"Автомобили",,,"Thunder Tiger","6403-F113",,"Автомобиль Thunder Tiger eMTA Brushless Monster 1:8 RTR 620 мм 4WD 2,4 ГГц (6403-F113)","395,00","450,00","14 990,00"
"Автомобили",,,"Thunder Tiger","6228-F111",,"Автомобиль Thunder Tiger MTA-4 S28 Nitro PRO Monster 1:8 RTR 558 мм 4WD 2,4 ГГц (6228-F111)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6228-F112",,"Автомобиль Thunder Tiger MTA-4 S28 Nitro PRO Monster 1:8 RTR 558 мм 4WD 2,4 ГГц (6228-F112)","310,00","330,00","10 890,00"
"Автомобили",,,"Thunder Tiger","6225-F113",,"Автомобиль Thunder Tiger MTA-4 Sledge Hammer S50. Nitro PRO Monster Truck 1:8 RTR 558 мм 4WD 2,4 ГГц (6225-F113)","380,00","400,00","13 490,00"
